Event,Site,Date,Round,White,Black,Result,ECO,Moves
FIDE-Wch,NLD/INA,1993.??.??,1,"Timman, Jan H","Karpov, Anatoly",0-1,B17,e4 c6 d4 d5 Nd2 dxe4 Nxe4 Nd7 Bc4 Ngf6 Ng5 e6 Qe2 Nb6 Bd3 h6 N5f3 c5 dxc5 Bxc5 Ne5 Nbd7 Ngf3 Qc7 Bf4 Bb4+ Nd2 Bxd2+ Kxd2 O-O Rhd1 Qb6 Nc4 Qc6 Qf3 Nd5 g3 Nc5 Bxh6 gxh6 Qg4+ Kh8 Ne5 Qa4 Qh5 Kg7 Ng4 Rh8 Ne5 Rf8 Ng4 Rh8 Ne5 Qe8 Qg4+ Kf8 Qd4 Nxd3 Ng6+ fxg6 Qxh8+ Ke7 Qxe8+ Kxe8 Kxd3 b5 Re1 Ke7 Re5 g5 Rae1 Kf6 R5e4 Bd7 h4 Rf8 c3 a5 Kd4 Rc8 f3 a4 Rc1 Ne7 Kd3 e5 Ke2 Be6 Kf2 Bxa2 Rce1 Rc5 hxg5+ hxg5 f4 Ng6 fxe5+ Nxe5 Rd4 Rd5 Rxd5 Bxd5 Ke3 Bc4 Rd1 Kf5 Rd4 Nd3 g4+ Ke5 Re4+ Kf6
FIDE-Wch,NLD/INA,1993.??.??,2,"Karpov, Anatoly","Timman, Jan H",0-1,E15,d4 Nf6 c4 e6 Nf3 b6 g3 Ba6 b3 Bb4+ Bd2 Be7 Bg2 c6 Bc3 d5 Ne5 Nfd7 Nxd7 Nxd7 Nd2 O-O O-O Rc8 e4 b5 Re1 dxe4 c5 f5 f3 b4 Bxb4 Ne5 Bc3 Nd3 fxe4 Nxe1 Qxe1 e5 Nf3 exd4 Bxd4 fxe4 Qxe4 Bf6 Re1 Re8 Bxf6 Rxe4 Bxd8 Rxe1+ Nxe1 Rxd8 Bxc6 Rd1 Kf2 Rd2+ Kf3 Rxa2 h4 Kf8 Kf4 Ke7 Nf3 Rf2 h5 Be2 Ke3 Bxf3 Bxf3 Rb2 Bd5 Rc2 Kd4 Rh2 g4 Rh3 Ke5 Re3+ Kf4 Rc3 c6 Kd6 Bg8 h6 Kf5 Rxc6 Kg6 Ke5+ Kxg7 Kf4
FIDE-Wch,NLD/INA,1993.??.??,3,"Timman, Jan H","Karpov, Anatoly",1/2-1/2,B17,e4 c6 d4 d5 Nd2 dxe4 Nxe4 Nd7 Bc4 Ngf6 Ng5 e6 Qe2 Nb6 Bd3 h6 N5f3 c5 dxc5 Bxc5 Ne5 Nbd7 Ngf3 Qc7 Bf4 Bb4+ Nd2 Bxd2+ Kxd2 O-O Rhd1 Qb6 Kc1 Nd5 Bg3 Nc5 Bc4 Bd7 Nxd7 Nxd7 a4 Rac8 Ra3 Qb4 Bxd5 exd5 Qb5 Qe4 Qd3 Nf6 Qxe4 dxe4 Rb3 b6 Rb5 Rc6 Rd6 Rxd6 Bxd6 Rc8 h3 Rc6 Bf4 Nd7 Be3 Kf8 Rb4 Nf6 b3 Re6 Rb5 Ke7 a5 Nd7 axb6 axb6 c4 Rg6 g3 Rd6 Kc2 g5 h4 f6 Kc3 Ke6 Kb4 Ke7 Kc3 Rd3+ Kb4 Rd6 c5 bxc5+ Rxc5 Ke6 Rc4
FIDE-Wch,NLD/INA,1993.??.??,4,"Karpov, Anatoly","Timman, Jan H",1/2-1/2,D43,d4 Nf6 c4 e6 Nf3 d5 Nc3 dxc4 Qa4+ c6 Qxc4 b5 Qd3 Nbd7 Bg5 Bb7 e3 a6 Be2 c5 O-O Be7 Rfd1 O-O dxc5 Nxc5 Qd4 Qxd4 Rxd4 Rfd8 Rad1 h6 Rxd8+ Rxd8 Bf4 Rxd1+ Nxd1 Nd5 Bb8 Nb4
FIDE-Wch,NLD/INA,1993.??.??,5,"Timman, Jan H","Karpov, Anatoly",1/2-1/2,A29,c4 e5 Nc3 Nf6 Nf3 Nc6 g3 Bc5 Bg2 O-O O-O d6 d3 h6 a3 a6 b4 Ba7 Bb2 Bg4 h3 Be6 Kh2 Rb8 Nd2 Qd7 Nd5 Ne8 Qa4 Nd4 Qxd7 Bxd7 e3 Ne6 Ne7+ Kh7 c5 dxc5 Nc4 Ba4 Be4+ Kh8 Bxe5 Nf6 Bf5 Rfe8 Bxf6 gxf6 Nd5 Kg7 bxc5 Bxc5 Rfc1 Bf8 Na5 b6 Nc6 Rb7 Rc4 Bb5 Rg4+ Ng5 Bd7 Re6 Bxe6 Bxc6 Nf4 fxe6 Nxe6+ Kg8 Nd8 Bf3 Nxb7 Bxb7 h4 f5 Rf4 Nf3+ Kh3 Ne5 d4 Nc4 a4 Bc8 Rc1 b5 axb5 axb5 d5 Bd6 Rfxc4 bxc4 Rxc4 Kf7 Kg2 Ke7 f3 h5 Kf2 Bb7 Rd4 Bc5 Rf4 Bc8 Ra4 Bb7 Rf4 Bc8 Ra4
FIDE-Wch,NLD/INA,1993.??.??,6,"Karpov, Anatoly","Timman, Jan H",1-0,D39,d4 Nf6 c4 e6 Nf3 d5 Nc3 dxc4 e4 Bb4 Bg5 c5 Bxc4 cxd4 Nxd4 Bxc3+ bxc3 Qa5 Nb5 Bd7 Nd6+ Ke7 Qd2 Bc6 f4 Nd7 Rd1 Rhd8 Qd4 h6 Bh4 Qh5 Bf2 Kf8 e5 Nd5 O-O Qg4 h3 Qh5 f5 Kg8 Rd3 N7b6 Bxd5 Bxd5 Rg3 Rd7 Be3 Bc4 Rf4 f6 exf6 e5 Qxe5 Qd1+ Kh2 Qxd6 f7+ Kxf7 Qxg7+ Ke8 Qh8+ Ke7 Re4+
FIDE-Wch,NLD/INA,1993.??.??,7,"Timman, Jan H","Karpov, Anatoly",1/2-1/2,B17,e4 c6 d4 d5 Nd2 dxe4 Nxe4 Nd7 Bc4 Ngf6 Ng5 e6 Qe2 Nb6 Bd3 h6 N5f3 c5 dxc5 Bxc5 Ne5 Nbd7 Ngf3 Qc7 Bf4 Bb4+ Nd2 Bxd2+ Kxd2 O-O Rhd1 Nc5 Ke1 Nd5 Bg3 Nxd3+ Rxd3 b5 c3 Qb7 Rad1
FIDE-Wch,NLD/INA,1993.??.??,8,"Karpov, Anatoly","Timman, Jan H",1/2-1/2,D39,d4 Nf6 c4 e6 Nf3 d5 Nc3 dxc4 e4 Bb4 Bg5 c5 Bxc4 cxd4 Nxd4 Bxc3+ bxc3 Qa5 Nb5 Nxe4 Qd4 O-O Qxe4 a6 Be7 axb5 Bb4 Qc7 Bxb5 Bd7 Bd3 g6 O-O Re8 Qe3 Nc6 Bc5 Ne7 Be4 Nf5 Bxf5 exf5 Qd4 Re4 Qd6 Qxd6 Bxd6 f6 f3 Re2 Rf2 Rae8 a4 Re1+ Rf1
FIDE-Wch,NLD/INA,1993.??.??,9,"Timman, Jan H","Karpov, Anatoly",1/2-1/2,A46,Nf3 Nf6 d4 e6 Bg5 h6 Bxf6 Qxf6 e4 d6 Nc3 g5 e5 Qe7 Bb5+ Bd7 O-O d5 Bd3 Nc6 Nb5 O-O-O c3 h5 a4 Kb8 b4 Bg7 Na3 Rdf8 Qe2 g4 Nd2 f6 exf6 Bxf6 b5 Na5 f4 Qg7 Nc2 Be7 Ne3 g3 h3 Bd6 f5 Rh6 Rae1 a6 Nf3 Re8 Qd2 Rd8 bxa6 b6 Ne5 Bc8 fxe6 Rxe6 Nf5 Qg8 Nh6 Qg7 Nf5 Qg8 Nh6 Qg7 Nhf7 Rf8 Nxd6 Rxd6 Rxf8 Qxf8 Rf1 Rf6 Qe3 h4 Nf3 Nc4 Qg5 Bxa6 a5 Qh6 Qxh6 Rxh6 axb6 cxb6 Ng5 Bb5 Rf8+ Ka7 Kf1
FIDE-Wch,NLD/INA,1993.??.??,10,"Karpov, Anatoly","Timman, Jan H",1-0,D85,d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Be3 c5 Qd2 Qa5 Rb1 b6 Bb5+ Bd7 Be2 O-O Rc1 Bb5 d5 Nd7 c4 Qxd2+ Kxd2 Ba4 Nh3 e6 Nf4 Rae8 f3 Ne5 Rc3 Bd7 Ra3 exd5 exd5 h5 Rxa7 Bf5 Rd1 Ra8 Rxa8 Rxa8 Ke1 Rxa2 d6 Nd7 Nd5 Kf8 Bd3 Bxd3 Rxd3 Be5 Bh6+ Kg8 Ne7+ Kh7 Bd2 Bxh2 f4 Bg1 Nc6 Kg8 Ne5 Ra7 Nc6 Ra1+ Ke2 Kf8 f5 gxf5 Rh3 Bd4 Rxh5 Bf6 Rxf5 Ra4 Kd3 Ke8 Bg5 Ba1 Be7 f6 g4 Ra3+ Ke4 Rc3 Rh5 Rxc4+ Kf5 b5 Rh8+ Kf7 Rd8 Be5 Nxe5+ Nxe5 Rf8+ Kg7 g5
