Event,Site,Date,Round,White,Black,Result,ECO,Moves
PCA-World Championship,New York,1995.??.??,1,"Anand, Viswanathan","Kasparov, Gary",1/2-1/2,B85,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Be2 e6 a4 Nc6 O-O Be7 Be3 O-O f4 Qc7 Kh1 Re8 Qd2 Bd7 Rad1 Rad8 Nb3 Bc8 Bf3 b6 Qf2 Nd7 Nd4 Bb7 Bh5 Rf8 Qg3 Nxd4 Bxd4 Bf6 Be2 e5 fxe5 Bxe5 Qf2 Nc5 Bf3 Rfe8 h3 a5 Rfe1 Bc6 b3 h6
PCA-World Championship,New York,1995.??.??,2,"Kasparov, Gary","Anand, Viswanathan",1/2-1/2,E34,d4 Nf6 c4 e6 Nc3 Bb4 Qc2 d5 cxd5 Qxd5 e3 c5 Bd2 Bxc3 Bxc3 cxd4 Bxd4 Nc6 Bxf6 gxf6 Ne2 Bd7 a3 Qe5 Nc3 f5 O-O-O O-O-O g3 Kb8 Be2 Ne7 Qd3 Qc7 Qd6 Bc6 Qxc7+ Kxc7 Rhe1 Rxd1+ Rxd1 Rd8 Rxd8 Kxd8 Kd2 Nc8 Kd3 Nd6 Kd4 b6 b4 Ke7 f4 h6 a4 f6 a5 Bd7
PCA-World Championship,New York,1995.??.??,3,"Anand, Viswanathan","Kasparov, Gary",1/2-1/2,B85,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Be2 e6 O-O Be7 a4 Nc6 Be3 O-O f4 Qc7 Kh1 Re8 Bd3 Nb4 a5 Bd7 Nf3 Bc6 Bb6 Qc8 Qe1 Nd7 Bd4 Nc5 Qg3 f6 e5 Rf8 Bxc5 dxc5 Bc4 Bd5 Nxd5 exd5 Bb3 c4 Ba4 Nc6 c3 fxe5 Nxe5 Nxe5 fxe5 Qe6 Bc2 Rxf1+ Rxf1 Rf8 Rxf8+ Bxf8 Qf4 g6 Bd1 Qf7 Qd4 Qf1+ Qg1 Qxg1+ Kxg1 Kf7 Bg4 b6
PCA-World Championship,New York,1995.??.??,4,"Kasparov, Gary","Anand, Viswanathan",1/2-1/2,A17,Nf3 Nf6 c4 e6 Nc3 Bb4 g3 O-O Bg2 d5 Qb3 c5 O-O Nc6 d3 h6 e3 Re8 a3 dxc4 dxc4 Bxc3 Qxc3 e5 b4 e4 Nd2 Qe7 b5 Ne5 Nxe4 Nf3+ Bxf3 Nxe4 Bxe4 Qxe4 f3 Qe7 e4 Be6 Be3
PCA-World Championship,New York,1995.??.??,5,"Anand, Viswanathan","Kasparov, Gary",1/2-1/2,B85,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Be2 e6 O-O Be7 a4 Nc6 Be3 O-O f4 Qc7 Kh1 Re8 Bd3 Nb4 a5 Bd7 Nf3 Rac8 Qe2 Bc6 Bb6 Qb8 Nd4 Nxd3 cxd3 d5 Qf3 Nd7 Nxc6 bxc6 Na4 Qd6 Qe3 Qb4 Rfc1 c5 Qf3 Nf6 Nc3 Bd8 exd5 exd5 Nxd5 Nxd5
PCA-World Championship,New York,1995.??.??,6,"Kasparov, Gary","Anand, Viswanathan",1/2-1/2,C80,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Nxe4 d4 b5 Bb3 d5 dxe5 Be6 Nbd2 Nc5 c3 d4 Ng5 dxc3 Nxe6 fxe6 bxc3 Qd3 Nf3 O-O-O Qe1 Nxb3 axb3 Kb7 Be3 Be7 Bg5 h6 Bxe7 Nxe7 Nd4 Rxd4 cxd4 Qxb3 Qe3 Qxe3 fxe3 Nd5 Kf2 Kb6 Ke2 a5 Rf7 a4 Kd2 c5 e4
PCA-World Championship,New York,1995.??.??,7,"Anand, Viswanathan","Kasparov, Gary",1/2-1/2,B85,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Be2 e6 O-O Be7 a4 Nc6 Be3 O-O f4 Qc7 Kh1 Re8 Bd3 Nb4 a5 Bd7 Nf3 Rac8 Bb6 Qb8 e5 dxe5 fxe5 Nfd5 Nxd5 exd5 Re1 h6 c3 Nxd3 Qxd3 Bc5 Qxd5 Be6 Qd2 Bxb6 axb6 Rc6 Ra4 Rxb6
PCA-World Championship,New York,1995.??.??,8,"Kasparov, Gary","Anand, Viswanathan",1/2-1/2,C45,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nf6 Nxc6 bxc6 e5 Qe7 Qe2 Nd5 c4 Ba6 b3 g5 Ba3 d6 exd6 Qxe2+ Bxe2 Bg7 cxd5 Bxe2 Kxe2 Bxa1 Rc1 O-O-O Rxc6 Rhe8+ Kd3 Rd7 Nc3 Bxc3 Kxc3 Re5 Kc4 Re4+ Kd3 Re5 Kc4 Re4+
PCA-World Championship,New York,1995.??.??,9,"Anand, Viswanathan","Kasparov, Gary",1-0,B85,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Be2 e6 O-O Be7 a4 Nc6 Be3 O-O f4 Qc7 Kh1 Re8 Bf3 Bd7 Nb3 Na5 Nxa5 Qxa5 Qd3 Rad8 Rfd1 Bc6 b4 Qc7 b5 Bd7 Rab1 axb5 Nxb5 Bxb5 Qxb5 Ra8 c4 e5 Bb6 Qc8 fxe5 dxe5 a5 Bf8 h3 Qe6 Rd5 Nxd5 exd5 Qg6 c5 e4 Be2 Re5 Qd7 Rg5 Rg1 e3 d6 Rg3 Qxb7 Qe6 Kh2
PCA-World Championship,New York,1995.??.??,10,"Kasparov, Gary","Anand, Viswanathan",1-0,C80,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Nxe4 d4 b5 Bb3 d5 dxe5 Be6 Nbd2 Nc5 c3 d4 Ng5 dxc3 Nxe6 fxe6 bxc3 Qd3 Bc2 Qxc3 Nb3 Nxb3 Bxb3 Nd4 Qg4 Qxa1 Bxe6 Rd8 Bh6 Qc3 Bxg7 Qd3 Bxh8 Qg6 Bf6 Be7 Bxe7 Qxg4 Bxg4 Kxe7 Rc1 c6 f4 a5 Kf2 a4 Ke3 b4 Bd1 a3 g4 Rd5 Rc4 c5 Ke4 Rd8 Rxc5 Ne6 Rd5 Rc8 f5 Rc4+ Ke3 Nc5 g5 Rc1 Rd6
