Event,Site,Date,Round,White,Black,Result,ECO,Moves
WCh 2023,Astana KAZ,2023.04.09,1.1,"Nepomniachtchi,I",Ding Liren,1/2-1/2,C85,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Bxc6 dxc6 Re1 Nd7 d4 exd4 Qxd4 O-O Bf4 Nc5 Qe3 Bg4 Nd4 Qd7 Nc3 Rad8 Nf5 Ne6 Nxe7+ Qxe7 Bg3 Bh5 f3 f6 h3 h6 Kh2 Bf7 Rad1 b6 a3 a5 Ne2 Rxd1 Rxd1 Rd8 Rd3 c5 Qd2 c6 Rxd8+ Nxd8 Qf4 b5 Qb8 Kh7 Bd6 Qd7 Ng3 Ne6 f4 h5 c3 c4 h4 Qd8 Qb7 Be8 Nf5 Qd7 Qb8 Qd8 Qxd8 Nxd8 Nd4 Nb7 e5 Kg8 Kg3 Bd7 Bc7 Nc5 Bxa5 Kf7 Bb4 Nd3 e6+ Bxe6 Nxc6 Bd7 Nd4 Nxb2 Kf3 Nd3 g3 Nc1 Ke3
WCh 2023,Astana KAZ,2023.04.10,2.1,Ding Liren,"Nepomniachtchi,I",0-1,E10,d4 Nf6 c4 e6 Nf3 d5 h3 dxc4 e3 c5 Bxc4 a6 O-O Nc6 Nc3 b5 Bd3 Bb7 a4 b4 Ne4 Na5 Nxf6+ gxf6 e4 c4 Bc2 Qc7 Bd2 Rg8 Rc1 O-O-O Bd3 Kb8 Re1 f5 Bc2 Nc6 Bg5 Rxg5 Nxg5 Nxd4 Qh5 f6 Nf3 Nxc2 Rxc2 Bxe4 Rd2 Bd6 Kh1 c3 bxc3 bxc3 Rd4 c2 Qh6 e5
WCh 2023,Astana KAZ,2023.04.12,3.1,"Nepomniachtchi,I",Ding Liren,1/2-1/2,D35,d4 Nf6 c4 e6 Nc3 d5 cxd5 exd5 Bg5 c6 e3 h6 Bh4 Be7 Bd3 O-O Qc2 Re8 Nge2 Nbd7 O-O a5 a3 Nh5 Bxe7 Qxe7 Rae1 Nf8 Nc1 Nf6 f3 Ne6 N1e2 c5 Bb5 Rd8 dxc5 Qxc5 Qd2 Bd7 Bxd7 Nxd7 Nd4 Nb6 Rd1 Nc4 Qf2 Rac8 Na4 Qe7 Rfe1 Qf6 Nb5 Nc7 Nd4 Ne6 Nb5 Nc7 Nd4 Ne6
WCh 2023,Astana KAZ,2023.04.13,4.1,Ding Liren,"Nepomniachtchi,I",1-0,A28,c4 Nf6 Nc3 e5 Nf3 Nc6 e3 Bb4 Qc2 Bxc3 bxc3 d6 e4 O-O Be2 Nh5 d4 Nf4 Bxf4 exf4 O-O Qf6 Rfe1 Re8 Bd3 Bg4 Nd2 Na5 c5 dxc5 e5 Qh6 d5 Rad8 c4 b6 h3 Bh5 Be4 Re7 Qc3 Rde8 Bf3 Nb7 Re2 f6 e6 Nd6 Rae1 Nf5 Bxh5 Qxh5 Re4 Qh6 Qf3 Nd4 Rxd4 cxd4 Nb3 g5 Nxd4 Qg6 g4 fxg3 fxg3 h5 Nf5 Rh7 Qe4 Kh8 e7 Qf7 d6 cxd6 Nxd6 Qg8 Nxe8 Qxe8 Qe6 Kg7 Rf1 Rh6 Rd1 f5 Qe5+ Kf7 Qxf5+ Rf6 Qh7+ Ke6 Qg7 Rg6 Qf8
WCh 2023,Astana KAZ,2023.04.15,5.1,"Nepomniachtchi,I",Ding Liren,1-0,C84,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 d3 b5 Bb3 d6 c3 O-O h3 Bb7 a4 Na5 Ba2 c5 Bg5 h6 Bxf6 Bxf6 axb5 axb5 Nbd2 Nc6 Bd5 Rxa1 Qxa1 Qd7 Re1 Ra8 Qd1 Bd8 Nf1 Ne7 Bxb7 Qxb7 Ne3 Bb6 h4 Qc6 h5 c4 d4 exd4 Nxd4 Qc5 Qg4 Qe5 Nf3 Qe6 Nf5 Nxf5 exf5 Qf6 Qe4 Rb8 Re2 Bc5 g4 Qd8 Qd5 Kf8 Kf1 Rc8 Re4 Rb8 g5 hxg5 Rg4 Ra8 Nxg5 Ra1+ Ke2 Qe7+ Ne4 Qe8 Kf3 Qa8 Qxa8+ Rxa8 f6 g6 hxg6 fxg6 Rxg6 Ra2 Kg4 Rxb2 Rh6
WCh 2023,Astana KAZ,2023.04.16,6.1,Ding Liren,"Nepomniachtchi,I",1-0,D02,d4 Nf6 Nf3 d5 Bf4 c5 e3 Nc6 Nbd2 cxd4 exd4 Bf5 c3 e6 Bb5 Bd6 Bxd6 Qxd6 O-O O-O Re1 h6 Ne5 Ne7 a4 a6 Bf1 Nd7 Nxd7 Qxd7 a5 Qc7 Qf3 Rfc8 Ra3 Bg6 Nb3 Nc6 Qg3 Qe7 h4 Re8 Nc5 e5 Rb3 Nxa5 Rxe5 Qf6 Ra3 Nc4 Bxc4 dxc4 h5 Bc2 Nxb7 Qb6 Nd6 Rxe5 Qxe5 Qxb2 Ra5 Kh7 Rc5 Qc1+ Kh2 f6 Qg3 a5 Nxc4 a4 Ne3 Bb1 Rc7 Rg8 Nd5 Kh8 Ra7 a3 Ne7 Rf8 d5 a2 Qc7 Kh7 Ng6 Rg8 Qf7
WCh 2023,Astana KAZ,2023.04.18,7.1,"Nepomniachtchi,I",Ding Liren,1-0,C07,e4 e6 d4 d5 Nd2 c5 Ngf3 cxd4 Nxd4 Nf6 exd5 Nxd5 N2f3 Be7 Bc4 Nc6 Nxc6 bxc6 O-O O-O Qe2 Bb7 Bd3 Qc7 Qe4 Nf6 Qh4 c5 Bf4 Qb6 Ne5 Rad8 Rae1 g6 Bg5 Rd4 Qh3 Qc7 b3 Nh5 f4 Bd6 c3 Nxf4 Bxf4 Rxf4 Rxf4 Bxe5 Rh4 Rd8 Be4 Bxe4 Rhxe4 Rd5 Rh4 Qd6 Qe3 h5 g3 Bf6 Rc4 h4 gxh4 Rd2 Re2 Rd3 Qxc5 Rd1+ Kg2 Qd3 Rf2 Kg7 Rcf4 Qxc3
WCh 2023,Astana KAZ,2023.04.20,8.1,Ding Liren,"Nepomniachtchi,I",1/2-1/2,E28,d4 Nf6 c4 e6 Nc3 Bb4 e3 O-O a3 Bxc3+ bxc3 d6 Ne2 c5 Ng3 Nc6 Ra2 b6 e4 Ba6 Bg5 h6 h4 hxg5 hxg5 g6 gxf6 Qxf6 e5 dxe5 d5 Ne7 d6 Nf5 Ne4 Qd8 Qd3 Kg7 g4 Bb7 Rh3 Nh4 g5 Bxe4 Qxe4 Nf5 Rd2 Rh8 Rxh8 Qxh8 d7 Rd8 Qxe5+ Kh7 Qh2+ Kg7 Qe5+ Kh7 Qh2+ Kg7 Qc7 Qh4 Kd1 Qxg5 Kc2 Qe7 Bg2 e5 Be4 Nh6 Qxa7 Ng4 Bf3 Nxf2 Rxf2 e4 Re2 f5 Qxb6 Rxd7 Qb8 Qd6 Qxd6 Rxd6 Bxe4 fxe4 Rxe4 Kf6 Re8
WCh 2023,Astana KAZ,2023.04.21,9.1,"Nepomniachtchi,I",Ding Liren,1/2-1/2,C65,e4 e5 Nf3 Nc6 Bb5 Nf6 d3 Bc5 c3 O-O O-O d5 Nbd2 dxe4 dxe4 a5 a4 Qe7 Qc2 Nb8 Re1 Rd8 h3 h6 Nf1 c6 Bc4 Na6 Ng3 Qc7 Ba2 b5 Qe2 Rb8 Nh4 Bf8 Qf3 bxa4 Bxh6 Nc5 Ng6 Rxb2 Nxf8 Rxf8 Bg5 Nh7 Bc1 Rb5 Ba3 Re8 Bc4 Be6 Bxe6 Nxe6 Nf5 c5 Qe2 Rb3 Qc4 Qc6 Bc1 Nf6 Qxa4 Qxa4 Rxa4 Rxc3 Bb2 Rb3 Bxe5 Rb4 Rxa5 Rxe4 Rxe4 Nxe4 Ra4 Nd4 Bxd4 cxd4 Rxd4 g6 Ne3 Kg7 Rb4 Ng3 Rb7 Nf5 Ng4 Re7 Rb5 Re1+ Kh2 Re2 Rb7 Nd6 Ra7 Kf8 Kg3 f5 Kf3 Re7 Ra8+ Re8 Rxe8+ Kxe8 Ne5 g5 h4 gxh4 Kf4 h3 gxh3 Ke7 Nc6+ Kf6 Nd4 Ne4 f3 Nf2 h4 Nd3+ Kg3 Kg6 Ne6 Kf6 Nf4 Nb4 Kf2 Ke5 Ke3 Nc2+ Kd2 Nd4 Nd3+ Kf6 Ke3 Nc2+ Kf4 Nd4 Kg3 Ne2+ Kf2 Nd4 Nf4 Ke5 Ne2 Ne6 Kg3 Kf6 Kg2 Kg7 Kf2 f4 Kg1 Kg6 Kg2 Kh6 Nc1 Kh5 Kh3 Nd4 Nd3 Nxf3 Nxf4+
WCh 2023,Astana KAZ,2023.04.23,10.1,Ding Liren,"Nepomniachtchi,I",1/2-1/2,A28,c4 Nf6 Nc3 e5 Nf3 Nc6 e4 Bc5 Nxe5 Nxe5 d4 Bb4 dxe5 Nxe4 Qf3 Nxc3 bxc3 Bc5 Qg3 Kf8 Be2 d6 Bf4 Qe7 Rd1 h5 O-O h4 Qd3 g5 exd6 cxd6 Bxd6 Qxd6 Qxd6+ Bxd6 Rxd6 Be6 f4 Ke7 Rd4 gxf4 Rfxf4 h3 g4 Rac8 Kf2 Rc5 a4 Ra5 Bd1 b6 Kg3 Rh6 Rfe4 Kf8 Rd8+ Kg7 Ra8 Rc5 Rxa7 Bxc4 Rae7 Rhc6 R7e5 Rxe5 Rxe5 Bb3 Bxb3 Rxc3+ Kh4 Rxb3 Rb5 Ra3 Rxb6 Rxa4 Kxh3 f5 gxf5 Rf4 Rb5 Kf6 Kg3 Rxf5 Rxf5+ Kxf5 h4 Kg6 h5+ Kxh5
